OFFICIAL NAME,COMMON NAME,ATS,LAT,LONG,SPECIES,STRAIN,GENOTYPE,AVG. LENGTH,QUANTITY,SHIPMENT DATE
PHYLLIS LAKE,,SE17-36-7-W5,52.1,-114.966667,RNTR,Beitty Resort,2N,35,6,2020-05-14
PHYLLIS LAKE,,SE17-36-7-W5,52.1,-114.966667,RNTR,Campbell Lake,2N,55,25,2020-05-14
PHYLLIS LAKE,,SE17-36-7-W5,52.1,-114.966667,RNTR,Trout Lodge/Jumpers,AF3N,18.6,5370,2020-05-25
PHYLLIS LAKE,,SE17-36-7-W5,52.1,-114.966667,RNTR,Trout Lodge/Jumpers,AF3N,20.8,4630,2020-05-25
PHYLLIS LAKE,,SE17-36-7-W5,52.1,-114.966667,RNTR,Campbell Lake,2N,40,100,2020-09-01
PIERRE GREYS LAKES,LOWER PIERRE GREYS LAKE,SE12-57-5-W6,53.910427,-118.60656,RNTR,Trout Lodge/Kamloops,AF3N,16.57,7000,2020-06-04
PIERRE GREYS LAKES,MIDDLE PIERRE GREYS LAKE,NW6-57-4-W6,53.90135,-118.588692,RNTR,Trout Lodge/Kamloops,AF3N,15.45,15000,2020-06-04
PIERRE GREYS LAKES,UPPER PIERRE GREYS LAKES,SW7-57-4-W6,53.908548,-118.585692,BKTR,Beitty Resort,3N,19.88,7000,2020-06-04
PIERRE GREYS LAKES,UPPER PIERRE GREYS LAKES,SW7-57-4-W6,53.908548,-118.585692,BNTR,Bow River,3N,21.08,1000,2020-06-04
RAINBOW PARK POND,WESTLOCK RECREATION POND,NE31-59-25-W4,54.145706,-113.727525,RNTR,Trout Lodge/Kamloops,AF3N,21.76,1110,2020-05-08
RAT LAKE,,SW11-38-9-W5,52.247523,-115.183801,BKTR,Beitty Resort,3N,6.5,2000,2020-06-01
RAT LAKE,,SW11-38-9-W5,52.247523,-115.183801,TGTR,Beitty/Bow River,3N,16.9,200,2020-09-02
RAT LAKE,,SW11-38-9-W5,52.247523,-115.183801,TGTR,Beitty/Bow River,3N,20,300,2020-09-02
REESOR LAKE,,NW20-8-1-W4,49.66537,-110.106922,RNTR,Campbell Lake,2N,16.9,14000,2020-05-12
REESOR LAKE,,NW20-8-1-W4,49.66537,-110.106922,RNTR,Trout Lodge/Jumpers,AF3N,15.7,3000,2020-05-12
REESOR LAKE,,NW20-8-1-W4,49.66537,-110.106922,TGTR,Beitty/Bow River,3N,22.05,3500,2020-09-29
REESOR LAKE,,NW20-8-1-W4,49.66537,-110.106922,RNTR,Trout Lodge/Kamloops,AF2N,22.67,2000,2020-09-29
ROCKY CHILDREN'S POND,,SW33-39-7-W5,52.398682,-114.949741,RNTR,Trout Lodge/Jumpers,AF3N,19.41,500,2020-05-25
ROCKY CHILDREN'S POND,,SW33-39-7-W5,52.398682,-114.949741,RNTR,Beitty Resort,2N,24.5,500,2020-08-13
RUNNING LAKE,,SW34-88-7-W6,56.669178,-119.0339,RNTR,Trout Lodge/Jumpers,AF2N,19.69,4350,2020-06-02
SALTER'S LAKE,,SW26-54-2-W5,53.690156,-114.191032,RNTR,Trout Lodge/Jumpers,AF2N,19.9,7500,2020-05-07
SARDINE LAKE,,SW5-49-4-W5,53.193482,-114.551159,RNTR,Campbell Lake,3N,17,2500,2020-05-28
SAUER LAKE,,NE28-53-1-W5,53.612875,-114.078152,RNTR,Trout Lodge/Jumpers,AF2N,18.59,6000,2020-05-11
SCHUMAN LAKE,,SE35-61-8-W5,54.318086,-115.077728,RNTR,Trout Lodge/Jumpers,AF2N,19.9,5500,2020-05-13
SCHUMAN LAKE,,SE35-61-8-W5,54.318086,-115.077728,RNTR,Trout Lodge/Jumpers,AF2N,19.56,4500,2020-06-01
SCHUMAN LAKE,,SE35-61-8-W5,54.318086,-115.077728,TGTR,Beitty/Bow River,3N,20.39,500,2020-09-17
SHUNDA LAKE,FISH LAKE,SW19-40-15-W5,52.451617,-116.149976,RNTR,Trout Lodge/Jumpers,AF3N,19.1,1000,2020-05-25
SHUNDA LAKE,FISH LAKE,SW19-40-15-W5,52.451617,-116.149976,RNTR,Trout Lodge/Jumpers,AF3N,15.6,8000,2020-05-25
SHUNDA LAKE,FISH LAKE,SW19-40-15-W5,52.451617,-116.149976,RNTR,Trout Lodge/Jumpers,AF3N,20.8,11000,2020-06-12
SIBBALD MEADOWS POND,,SW20-24-7-W5,51.05457,-114.944741,RNTR,Trout Lodge/Jumpers,AF3N,20.4,2000,2020-05-14
SIBBALD MEADOWS POND,,SW20-24-7-W5,51.05457,-114.944741,RNTR,Trout Lodge/Jumpers,AF3N,21.2,2000,2020-07-09
SOUTH SUNDANCE LAKE,,SE1-55-21-W5,53.722144,-116.979844,BKTR,Beitty Resort,3N,14.57,4500,2020-10-06
SPARROW'S EGG LAKE,,NW6-20-8-W5,50.673406,-115.105897,RNTR,Trout Lodge/Jumpers,AF3N,20.4,900,2020-06-19
SPRING LAKE,COTTAGE,SW30-52-1-W5,53.517861,-114.138808,RNTR,Trout Lodge/Jumpers,AF2N,20.05,10000,2020-05-07
SPRING LAKE,COTTAGE,SW30-52-1-W5,53.517861,-114.138808,RNTR,Trout Lodge/Kamloops,AF2N,22.88,5000,2020-09-17
SPRUCE COULEE RESERVOIR,,SW26-8-2-W4,49.673739,-110.181613,BKTR,Beitty Resort,3N,19.88,6000,2020-06-04
SPRUCE COULEE RESERVOIR,,SW26-8-2-W4,49.673739,-110.181613,BKTR,Beitty Resort,3N,13.1,8000,2020-09-11
STAR LAKE,,NE19-52-2-W5,53.510057,-114.273086,RNTR,Campbell Lake,2N,17.63,8040,2020-05-11
STAR LAKE,,NE19-52-2-W5,53.510057,-114.273086,RNTR,Campbell Lake,2N,40,50,2020-09-09
STRUBEL LAKE,,SW30-37-7-W5,52.203976,-115.001395,RNTR,Trout Lodge/Jumpers,AF3N,18.5,19000,2020-05-22
SULPHUR LAKE,,NW7-89-2-W6,56.706382,-118.318549,RNTR,Trout Lodge/Kamloops,AF3N,15.82,5900,2020-05-26
SULPHUR LAKE,,NW7-89-2-W6,56.706382,-118.318549,RNTR,Trout Lodge/Kamloops,AF3N,17.6,1600,2020-05-26
SWAN LAKE,,SW18-70-25-W5,55.059122,-117.813668,RNTR,Trout Lodge/Kamloops,AF3N,16.56,15000,2020-05-28
SWAN LAKE,,SW18-70-25-W5,55.059122,-117.813668,RNTR,Trout Lodge/Kamloops,AF3N,20.94,15000,2020-09-16
TAY LAKE,,SW5-36-8-W5,52.061406,-115.11934,RNTR,Trout Lodge/Jumpers,AF3N,16.5,5000,2020-06-25
TWIN LAKES,,SW6-40-7-W5,52.413889,-115.001806,RNTR,Beitty Resort,2N,35,5,2020-05-15
TWIN LAKES,,SW6-40-7-W5,52.413889,-115.001806,RNTR,Campbell Lake,2N,55,25,2020-05-15
TWIN LAKES,,SW6-40-7-W5,52.413889,-115.001806,RNTR,Campbell Lake,3N,18,3500,2020-05-15
TWIN LAKES,,SW6-40-7-W5,52.413889,-115.001806,RNTR,Campbell Lake,3N,12,2500,2020-05-15
TWIN LAKES,,SW6-40-7-W5,52.413889,-115.001806,RNTR,Trout Lodge/Jumpers,AF3N,21.3,1000,2020-05-21
TWIN LAKES,,SW6-40-7-W5,52.413889,-115.001806,RNTR,Campbell Lake,2N,40,100,2020-09-01
TWO LAKES,NORTH TWO LAKE,NE20-62-12-W6,54.380594,-119.755438,RNTR,Trout Lodge/Jumpers,AF2N,16.5,4500,2020-06-02
UNNAMED,ACADIA VALLEY RESERVOIR,SW5-25-2-W4,51.099316,-110.25524,BKTR,Beitty Resort,3N,21.07,2000,2020-05-04
UNNAMED,ACADIA VALLEY RESERVOIR,SW5-25-2-W4,51.099316,-110.25524,RNTR,Campbell Lake,2N,18.3,5000,2020-05-06
UNNAMED,ALLISON LAKE,SW27-8-5-W5,49.672284,-114.604063,RNTR,Trout Lodge/Jumpers,AF3N,21.2,3740,2020-05-26
UNNAMED,ALLISON LAKE,SW27-8-5-W5,49.672284,-114.604063,CTTR,Job Lake,2N,32,300,2020-06-02
UNNAMED,ANDERSON DAM,SW25-28-21-W4,51.419906,-112.838356,RNTR,Trout Lodge/Kamloops,AF3N,21.85,1006,2020-04-30
UNNAMED,ARDMORE COMMUNITY POND,NW1-62-4-W4,54.339952,-110.479159,RNTR,Trout Lodge/Jumpers,AF2N,20,400,2020-05-01
UNNAMED,ARDMORE COMMUNITY POND,NW1-62-4-W4,54.339952,-110.479159,RNTR,Trout Lodge/Kamloops,AF2N,23.83,200,2020-09-09
UNNAMED,ASHLAND RESERVOIR,NW17-48-3-W5,53.147371,-114.409999,RNTR,Campbell Lake,2N,17.1,8100,2020-05-13
UNNAMED,ASHLAND RESERVOIR,NW17-48-3-W5,53.147371,-114.409999,RNTR,Campbell Lake,3N,19.3,1000,2020-09-03
UNNAMED,ASHLAND RESERVOIR,NW17-48-3-W5,53.147371,-114.409999,RNTR,Trout Lodge/Jumpers,AF3N,24.2,502,2020-09-17
UNNAMED,ATLANTIC RICHFIELD RESERVOIR,NE29-67-9-W5,54.832388,-115.326749,RNTR,Trout Lodge/Jumpers,AF2N,19.56,1800,2020-06-01
UNNAMED,BASHAW POND,SE4-42-21-W4,52.581079,-112.966507,RNTR,Trout Lodge/Jumpers,AF3N,20.08,500,2020-05-05
UNNAMED,BASHAW POND,SE4-42-21-W4,52.581079,-112.966507,BKTR,Beitty Resort,3N,21.07,200,2020-05-05
UNNAMED,BATHING LAKE,SE11-4-1-W5,49.278825,-114.024744,RNTR,Trout Lodge/Jumpers,AF3N,20.5,775,2020-05-20
UNNAMED,BEAUMONT POND,NW27-50-24-W4,53.346482,-113.430512,BNTR,Bow River,3N,20.45,241,2020-05-05
UNNAMED,BEAUMONT POND,NW27-50-24-W4,53.346482,-113.430512,RNTR,Trout Lodge/Kamloops,AF3N,20.72,1250,2020-06-24
UNNAMED,BELLIS BEACH LAKE,SE15-59-15-W4,54.100613,-112.15247,RNTR,Trout Lodge/Jumpers,AF2N,18.39,4000,2020-05-13
UNNAMED,BELLIS BEACH LAKE,SE15-59-15-W4,54.100613,-112.15247,RNTR,Trout Lodge/Jumpers,AF2N,19.5,6000,2020-05-13
UNNAMED,BELLIS BEACH LAKE,SE15-59-15-W4,54.100613,-112.15247,RNTR,Trout Lodge/Jumpers,AF2N,19,4000,2020-05-13
UNNAMED,BIG IRON LAKE,NW1-15-4-W5,50.233539,-114.430313,RNTR,Trout Lodge/Jumpers,AF3N,19.7,750,2020-06-22
UNNAMED,BLACK NUGGET MINE PIT,NW11-49-18-W4,53.217685,-112.532662,RNTR,Trout Lodge/Jumpers,AF2N,20.1,12500,2020-05-05
UNNAMED,BLACK NUGGET MINE PIT,NW11-49-18-W4,53.217685,-112.532662,RNTR,Trout Lodge/Jumpers,AF3N,19.7,5020,2020-09-16
UNNAMED,BLACK NUGGET MINE PIT,NW11-49-18-W4,53.217685,-112.532662,RNTR,Trout Lodge/Kamloops,AF2N,21.47,5500,2020-09-25
UNNAMED,BLACK NUGGET MINE PIT,NW11-49-18-W4,53.217685,-112.532662,TGTR,Beitty/Bow River,3N,22.83,4000,2020-09-25
UNNAMED,BOW CITY EAST PONDS,NE15-17-17-W4,50.434749,-112.259866,RNTR,Trout Lodge/Kamloops,AF3N,21.74,1500,2020-04-23
UNNAMED,BOYLE POND,NE16-64-19-W4,54.537414,-112.80524,RNTR,Trout Lodge/Jumpers,AF3N,20.1,2200,2020-05-12
UNNAMED,BRAZEAU BORROW PIT #1,SE32-45-10-W5,52.916194,-115.414317,RNTR,Campbell Lake,3N,17,1500,2020-05-27
UNNAMED,BROOKS AQUADUCT POND,NE15-18-14-W4,50.524756,-111.843722,RNTR,Campbell Lake,2N,16,2500,2020-04-28
UNNAMED,BROOKS AQUADUCT POND,NE15-18-14-W4,50.524756,-111.843722,RNTR,Trout Lodge/Jumpers,AF3N,18.3,7500,2020-04-28
UNNAMED,BUD MILLER PARK POND,NE26-49-1-W4,53.259224,-110.040698,RNTR,Trout Lodge/Jumpers,AF3N,19.79,1500,2020-05-09
UNNAMED,BURMIS LAKE,SE14-7-3-W5,49.553784,-114.299609,RNTR,Trout Lodge/Jumpers,AF3N,20.5,1000,2020-05-20
UNNAMED,BURN'S RESERVOIR,NE23-6-30-W4,49.492841,-113.93045,RNTR,Trout Lodge/Jumpers,AF3N,20.7,1000,2020-05-20
UNNAMED,BY THE LAKE PARK,SW22-46-24-W4,52.976846,-113.408198,RNTR,Campbell Lake,2N,16.9,5000,2020-05-12
UNNAMED,CAMP 9 TROUT POND,NE32-44-8-W5,52.84209,-115.125149,RNTR,Trout Lodge/Jumpers,AF3N,20.45,576,2020-06-11
UNNAMED,CARDIFF PARK POND,SW24-55-25-W4,53.763266,-113.584073,RNTR,Trout Lodge/Jumpers,AF2N,19.9,4833,2020-05-06
UNNAMED,CARDIFF PARK POND,SW24-55-25-W4,53.763266,-113.584073,RNTR,Trout Lodge/Jumpers,AF2N,19.9,6667,2020-05-06
UNNAMED,CARDIFF PARK POND,SW24-55-25-W4,53.763266,-113.584073,RNTR,Trout Lodge/Kamloops,AF2N,23.14,5000,2020-09-14
UNNAMED,CARDIFF PARK POND,SW24-55-25-W4,53.763266,-113.584073,TGTR,Beitty/Bow River,3N,22.81,550,2020-09-14
UNNAMED,CASTAWAY TROUT POND,NE35-47-13-W4,53.097592,-111.79091,RNTR,Trout Lodge/Kamloops,AF3N,21.2,1000,2020-05-11
UNNAMED,CASTOR EASTSIDE TROUT POND,SE34-37-14-W4,52.218207,-111.91105,RNTR,Trout Lodge/Kamloops,AF3N,21.76,435,2020-05-06
UNNAMED,CECIL THOMPSON POND,SW23-83-21-W5,56.209063,-117.20295,RNTR,Trout Lodge/Jumpers,AF2N,19.7,1000,2020-05-19
UNNAMED,CIPPERLEY'S RESERVOIR,SW8-32-1-W5,51.7253,-114.111399,RNTR,Trout Lodge/Kamloops,AF3N,22.9,1207,2020-04-29
UNNAMED,CIPPERLEY'S RESERVOIR,SW8-32-1-W5,51.7253,-114.111399,RNTR,Trout Lodge/Kamloops,AF3N,20.3,300,2020-06-18
UNNAMED,COLEMAN FISH AND GAME POND,SW24-8-5-W5,49.655563,-114.559795,RNTR,Trout Lodge/Jumpers,AF3N,21.2,1600,2020-05-26
UNNAMED,CORONATION RESERVOIR,SW24-36-11-W4,52.105809,-111.44958,RNTR,Campbell Lake,2N,16.5,8300,2020-05-07
UNNAMED,COTTONWOOD LAKE,SE16-7-29-W4,49.5588,-113.8722,RNTR,Trout Lodge/Jumpers,AF3N,20.5,750,2020-05-20
UNNAMED,COUNTY SPORTPLEX POND,NW14-72-6-W6,55.237091,-118.812752,RNTR,Trout Lodge/Jumpers,AF3N,20.1,2000,2020-05-12
UNNAMED,COUNTY SPORTPLEX POND,NW14-72-6-W6,55.237091,-118.812752,TGTR,Beitty/Bow River,3N,22.03,140,2020-09-17
UNNAMED,COUNTY SPORTPLEX POND,NW14-72-6-W6,55.237091,-118.812752,TGTR,Beitty/Bow River,3N,9.74,200,2020-09-17
UNNAMED,CROSSFIELD TROUT POND,SE27-28-1-W5,51.422275,-114.049779,RNTR,Trout Lodge/Jumpers,AF3N,20.5,1400,2020-05-19
UNNAMED,DANDURAND LAKE,NE9-53-19-W5,53.565803,-116.736533,RNTR,Trout Lodge/Jumpers,AF3N,20,1000,2020-05-21
UNNAMED,DAYSLAND POND,NE9-45-16-W4,52.86884,-112.263607,RNTR,Trout Lodge/Jumpers,AF3N,20,300,2020-05-04
UNNAMED,DEWITT'S POND,SE31-26-1-W5,51.262527,-114.121485,BNTR,Bow River,3N,20,1300,2020-05-14
UNNAMED,DEWITT'S POND,SE31-26-1-W5,51.262527,-114.121485,RNTR,Trout Lodge/Kamloops,AF3N,21.01,1300,2020-06-23
UNNAMED,DICKSON TROUT POND,NW13-35-3-W5,52.011001,-114.309334,RNTR,Trout Lodge/Jumpers,AF3N,19,20000,2020-05-15
UNNAMED,DICKSON TROUT POND,NW13-35-3-W5,52.011001,-114.309334,RNTR,Trout Lodge/Jumpers,AF3N,19.9,5513,2020-09-17
UNNAMED,DICKSON TROUT POND,NW13-35-3-W5,52.011001,-114.309334,TGTR,Beitty/Bow River,3N,22.14,3400,2020-09-23
UNNAMED,DIPLOMAT MINE POND,NW1-41-16-W4,52.50583,-112.180118,RNTR,Campbell Lake,2N,16.5,5000,2020-05-07
UNNAMED,DIPLOMAT MINE POND,NW1-41-16-W4,52.50583,-112.180118,RNTR,Trout Lodge/Jumpers,AF3N,19.6,5112,2020-09-15
UNNAMED,DIPLOMAT MINE POND,NW1-41-16-W4,52.50583,-112.180118,TGTR,Beitty/Bow River,3N,23.47,1500,2020-09-23
UNNAMED,EAST PIT LAKE,SE23-53-4-W5,53.584969,-114.473822,RNTR,Pit Lakes,2N,15.9,11600,2020-05-15
UNNAMED,EAST STORMWATER POND,SE29-40-26-W4,52.469538,-113.709921,RNTR,Trout Lodge/Kamloops,AF2N,21.76,1200,2020-05-01
UNNAMED,ECHO DALE REGIONAL PARK POND,SE5-13-6-W4,50.049958,-110.780527,RNTR,Trout Lodge/Kamloops,AF3N,21.2,1200,2020-05-15
UNNAMED,ELK CREEK POND,NW33-35-12-W5,52.056822,-115.657217,RNTR,Campbell Lake,3N,19.4,500,2020-05-29
UNNAMED,ENCHANT POND,NW8-14-18-W4,50.161135,-112.432267,RNTR,Trout Lodge/Kamloops,AF3N,22.3,1000,2020-04-26
UNNAMED,ENCHANT POND,NW8-14-18-W4,50.161135,-112.432267,RNTR,Trout Lodge/Kamloops,AF3N,20.35,1000,2020-06-19
UNNAMED,FAIRVIEW COLLEGE POND,SW34-81-3-W6,56.0588,-118.387234,RNTR,Trout Lodge/Jumpers,AF2N,20.1,500,2020-05-26
UNNAMED,FIESTA LAKE,NE12-35-6-W5,51.995874,-114.726449,RNTR,Campbell Lake,3N,17,550,2020-05-29
UNNAMED,FIGURE EIGHT LAKE,NE20-84-25-W5,56.30153,-117.906378,RNTR,Trout Lodge/Jumpers,AF3N,19.8,9000,2020-05-14
UNNAMED,FOOTNER POND,SE5-111-19-W5,58.608147,-117.156875,RNTR,Trout Lodge/Jumpers,AF2N,19.8,500,2020-05-20
UNNAMED,FOREMOST RESERVOIR,NW17-6-11-W4,49.477485,-111.456691,RNTR,Trout Lodge/Kamloops,AF3N,21.74,1500,2020-04-23
UNNAMED,FOX CREEK TROUT POND,NW13-63-20-W5,54.45359,-116.888798,RNTR,Trout Lodge/Jumpers,AF2N,19.7,500,2020-05-19
UNNAMED,GENESEE TROUT POND,NW1-51-3-W5,53.376492,-114.309875,RNTR,Trout Lodge/Jumpers,AF3N,20,500,2020-05-22
UNNAMED,GIBBONS POND,NE10-56-23-W4,53.830514,-113.332084,RNTR,Trout Lodge/Kamloops,AF2N,21.2,300,2020-05-25
UNNAMED,GIBBONS POND,NE10-56-23-W4,53.830514,-113.332084,RNTR,Trout Lodge/Kamloops,AF3N,20.72,300,2020-06-24
UNNAMED,GOLDSPRING PARK POND,NE6-2-15-W4,49.095497,-111.995479,RNTR,Trout Lodge/Kamloops,AF3N,21.74,1575,2020-04-23
UNNAMED,GOLDSPRING PARK POND,NE6-2-15-W4,49.095497,-111.995479,RNTR,Trout Lodge/Kamloops,AF3N,20.35,1575,2020-06-19
UNNAMED,GOOSEBERRY PARK POND,NE22-36-6-W4,52.110661,-110.771236,RNTR,Trout Lodge/Kamloops,AF3N,21.76,2000,2020-05-06
UNNAMED,GOOSEBERRY PARK POND,NE22-36-6-W4,52.110661,-110.771236,RNTR,Trout Lodge/Kamloops,AF3N,21.1,1400,2020-06-17
UNNAMED,GRANUM POND,NW31-10-26-W4,49.870282,-113.516665,RNTR,Trout Lodge/Kamloops,AF3N,22.3,600,2020-04-26
UNNAMED,HANSEN'S RESERVOIR,NE29-38-3-W5,52.297145,-114.394522,RNTR,Trout Lodge/Kamloops,AF3N,21.85,2000,2020-04-30
UNNAMED,HANSEN'S RESERVOIR,NE29-38-3-W5,52.297145,-114.394522,RNTR,Trout Lodge/Kamloops,AF3N,20.3,2000,2020-06-18
UNNAMED,HARLECK POND,SE5-41-14-W5,52.494632,-115.972609,RNTR,Trout Lodge/Jumpers,AF3N,20.6,400,2020-05-19
UNNAMED,HELMER RESERVOIR,SW18-31-14-W4,51.649233,-111.983108,RNTR,Trout Lodge/Jumpers,AF3N,18.5,5000,2020-05-06
UNNAMED,HERITAGE LAKE,NW33-55-25-W4,53.799728,-113.66643,RNTR,Trout Lodge/Jumpers,AF3N,20,2020,2020-05-05
UNNAMED,HERITAGE LAKE,NW33-55-25-W4,53.799728,-113.66643,BNTR,Bow River,3N,20.45,800,2020-05-05
UNNAMED,HERITAGE LAKE,NW33-55-25-W4,53.799728,-113.66643,BKTR,Beitty Resort,3N,21.07,1000,2020-05-05
UNNAMED,HERITAGE LAKE,NW33-55-25-W4,53.799728,-113.66643,RNTR,Trout Lodge/Jumpers,AF3N,21.07,2020,2020-06-03
UNNAMED,HERITAGE LAKE,NW33-55-25-W4,53.799728,-113.66643,BKTR,Beitty Resort,3N,20.45,800,2020-06-03
UNNAMED,HERITAGE LAKE,NW33-55-25-W4,53.799728,-113.66643,TGTR,Beitty/Bow River,3N,20.39,500,2020-09-16
UNNAMED,HERITAGE LAKE,NW33-55-25-W4,53.799728,-113.66643,RNTR,Trout Lodge/Jumpers,AF3N,23.5,3005,2020-09-22
UNNAMED,HERMITAGE PARK POND,NE18-53-23-W4,53.581702,-113.371337,RNTR,Trout Lodge/Jumpers,AF3N,20.08,1565,2020-05-06
UNNAMED,HERMITAGE PARK POND,NE18-53-23-W4,53.581702,-113.371337,BNTR,Bow River,3N,20.45,300,2020-05-06
UNNAMED,HERMITAGE PARK POND,NE18-53-23-W4,53.581702,-113.371337,RNTR,Trout Lodge/Jumpers,AF3N,20,1565,2020-06-03
UNNAMED,HIGH LEVEL POND,SE8-110-20-W5,58.532109,-117.302526,RNTR,Trout Lodge/Jumpers,AF2N,20.6,500,2020-05-20
UNNAMED,HIGHWAY 40 POND,SW12-69-6-W6,54.958674,-118.782831,RNTR,Trout Lodge/Jumpers,AF2N,20.1,1000,2020-05-26
UNNAMED,HIGHWAY 63 POND,NE35-87-9-W4,56.588109,-111.320447,RNTR,Trout Lodge/Jumpers,AF2N,19.9,1000,2020-05-14
UNNAMED,HIGHWAY 686 POND,NE17-85-19-W5,56.372419,-116.954587,RNTR,Trout Lodge/Jumpers,AF2N,19.8,500,2020-05-20
UNNAMED,HILLER'S RESERVOIR,SE13-32-29-W4,51.739122,-113.978521,RNTR,Campbell Lake,2N,17.1,7574,2020-05-13
UNNAMED,HUBER RESERVOIR,SW36-37-13-W4,52.221611,-111.732917,RNTR,Campbell Lake,2N,16.3,6000,2020-05-07
UNNAMED,HUBER RESERVOIR,SW36-37-13-W4,52.221611,-111.732917,RNTR,Campbell Lake,2N,40,50,2020-09-08
UNNAMED,HUBER RESERVOIR,SW36-37-13-W4,52.221611,-111.732917,TGTR,Beitty/Bow River,3N,22.97,1250,2020-09-22
UNNAMED,INNISFREE TROUT POND,SE13-51-12-W4,53.39796,-111.629354,BKTR,Beitty Resort,3N,19.66,600,2020-05-09
UNNAMED,INNISFREE TROUT POND,SE13-51-12-W4,53.39796,-111.629354,RNTR,Trout Lodge/Jumpers,AF3N,19.79,500,2020-05-09
UNNAMED,IRMA FISH AND GAME POND,SW34-45-9-W4,52.918593,-111.236446,RNTR,Trout Lodge/Jumpers,AF3N,20,200,2020-05-04
UNNAMED,IRMA FISH AND GAME POND,SW34-45-9-W4,52.918593,-111.236446,BKTR,Beitty Resort,3N,21.07,300,2020-05-04
UNNAMED,JARVIS CREEK POND,NE19-52-26-W5,53.508917,-117.810057,RNTR,Trout Lodge/Jumpers,AF3N,19.9,700,2020-05-28
UNNAMED,KEENEX TROUT POND,NW10-11-24-W4,49.896607,-113.208467,RNTR,Campbell Lake,2N,16,4000,2020-04-29
UNNAMED,KEENEX TROUT POND,NW10-11-24-W4,49.896607,-113.208467,RNTR,Campbell Lake,3N,8.1,10000,2020-06-05
UNNAMED,KERBE'S POND,NE19-36-20-W4,52.112277,-112.844594,RNTR,Trout Lodge/Jumpers,AF3N,19.4,500,2020-06-01
UNNAMED,KERBE'S POND,NE19-36-20-W4,52.112277,-112.844594,TGTR,Beitty/Bow River,3N,22.55,250,2020-09-28
UNNAMED,KERBE'S POND,NE19-36-20-W4,52.112277,-112.844594,RNTR,Trout Lodge/Kamloops,AF3N,23.22,250,2020-09-28
UNNAMED,KIDS CAN CATCH POND,SW13-24-1-W5,51.041403,-114.017656,RNTR,Trout Lodge/Jumpers,AF3N,23.9,41,2020-07-23
UNNAMED,KRAFT WIMBORNE POND,SE28-33-26-W4,51.859122,-113.620127,RNTR,Trout Lodge/Jumpers,AF3N,19.66,300,2020-05-08
UNNAMED,KRAFT WIMBORNE POND,SE28-33-26-W4,51.859122,-113.620127,BKTR,Beitty Resort,3N,20.1,480,2020-05-08
UNNAMED,KRAMER POND,SW25-45-6-W5,52.906846,-114.745933,RNTR,Trout Lodge/Jumpers,AF3N,19.4,5000,2020-05-19
UNNAMED,LA CRETE POND,SW15-106-12-W5,58.197347,-115.906655,RNTR,Trout Lodge/Jumpers,AF2N,19.7,1500,2020-05-20
UNNAMED,LACOMBE PARK POND,NW5-54-25-W4,53.637547,-113.653734,RNTR,Trout Lodge/Jumpers,AF3N,20.08,500,2020-05-06
UNNAMED,LACOMBE PARK POND,NW5-54-25-W4,53.637547,-113.653734,BKTR,Beitty Resort,3N,19.61,600,2020-05-06
UNNAMED,LAMONT POND,SW27-55-19-W4,53.775627,-112.749283,RNTR,Trout Lodge/Kamloops,AF3N,21.76,2000,2020-05-08
UNNAMED,LARA FISH POND,NE25-61-5-W4,54.3089,-110.61054,RNTR,Trout Lodge/Jumpers,AF2N,20,400,2020-05-01
UNNAMED,LARA FISH POND,NE25-61-5-W4,54.3089,-110.61054,RNTR,Trout Lodge/Kamloops,AF2N,23.83,200,2020-09-09
UNNAMED,LEDUC RESERVOIR,NE27-49-25-W4,53.259984,-113.567083,RNTR,Campbell Lake,2N,16.9,5000,2020-05-12
UNNAMED,LEGAL RESERVOIR,NW24-57-25-W4,53.947431,-113.586428,RNTR,Trout Lodge/Jumpers,AF3N,20.08,1000,2020-05-06
UNNAMED,LEN THOMPSON POND,NW29-40-26-W4,52.476805,-113.712706,RNTR,Trout Lodge/Jumpers,AF3N,20,2000,2020-05-05
UNNAMED,LLOYDMINSTER POND,SE6-50-1-W4,53.27896,-110.139056,RNTR,Trout Lodge/Jumpers,AF2N,19.73,500,2020-05-07
UNNAMED,LODGEPOLE POND,NE1-48-10-W5,53.119469,-115.320171,RNTR,Trout Lodge/Jumpers,AF3N,20,200,2020-05-22
UNNAMED,LOUGHEED TROUT POND,NE33-43-11-W4,52.750929,-111.539761,RNTR,Trout Lodge/Kamloops,AF3N,21.2,570,2020-05-15
UNNAMED,LOVETT LAKE,NW10-47-19-W5,53.041523,-116.706,RNTR,Trout Lodge/Jumpers,AF3N,21.23,1000,2020-06-08
UNNAMED,MACHESIS LAKE,NW27-107-16-W5,58.324911,-116.585882,RNTR,Trout Lodge/Jumpers,AF2N,19.7,4000,2020-05-20
UNNAMED,MAGRATH CHILDRENS POND,SW26-5-22-W4,49.4103,-112.8647,RNTR,Trout Lodge/Kamloops,AF3N,22.3,500,2020-04-26
UNNAMED,MAYAN LAKE,NW5-57-23-W5,53.902144,-117.38983,RNTR,Trout Lodge/Kamloops,AF3N,16.9,2000,2020-06-12
UNNAMED,MCCLENNAN RESERVOIR,SW32-77-19-W5,55.709784,-116.919773,RNTR,Trout Lodge/Jumpers,AF2N,19.7,500,2020-05-19
