OFFICIAL NAME,COMMON NAME,ATS,LAT,LONG,SPECIES,STRAIN,GENOTYPE,AVG. LENGTH,QUANTITY,SHIPMENT DATE
CHAIN LAKES RESERVOIR,,NE4-15-2-W5,50.236864,-114.20802,RNTR,Beitty Resort,3N,11.3,25217,2020-09-10
CHAIN LAKES RESERVOIR,,NE4-15-2-W5,50.236864,-114.20802,RNTR,Campbell Lake,3N,17.5,15000,2020-09-25
CHAMPION LAKES,LOWER CHAMPION LAKE,NW26-21-5-W5,50.813258,-114.597433,RNTR,Trout Lodge/Jumpers,AF3N,19.8,300,2020-06-22
CHAMPION LAKES,UPPER CHAMPION LAKE,NW26-21-5-W5,50.815306,-114.599941,RNTR,Trout Lodge/Jumpers,AF3N,19.8,300,2020-06-22
CHATWIN LAKE,,NE4-61-6-W4,54.24779,-110.841712,RNTR,Trout Lodge/Jumpers,AF2N,19.73,4000,2020-06-01
CHATWIN LAKE,,NE4-61-6-W4,54.24779,-110.841712,RNTR,Trout Lodge/Jumpers,AF2N,19.83,4000,2020-06-11
CHICKAKOO LAKE,CHICKAKO LAKE,SW34-53-1-W5,53.618628,-114.074339,RNTR,Trout Lodge/Jumpers,AF2N,19.9,10000,2020-05-06
CHRYSTINA LAKE,,NW8-67-8-W5,54.786102,-115.194645,BKTR,Beitty Resort,3N,22.33,1800,2020-06-01
CLAUDE N. BRENNAN MEMORIAL POND,VERMILION PARK POND,NE36-50-7-W4,53.364531,-110.884936,RNTR,Trout Lodge/Kamloops,AF3N,21.2,1250,2020-05-14
COW LAKE,,NE12-38-8-W5,52.260185,-115.005926,BNTR,Bow River,3N,8.53,25800,2020-09-10
CROWSNEST LAKE,,NE8-8-5-W5,49.634111,-114.637963,RNTR,Trout Lodge/Jumpers,AF3N,15.5,15000,2020-05-06
DILLBERRY LAKE,,NE36-41-1-W4,52.576348,-110.004391,RNTR,Campbell Lake,2N,14.3,23706,2020-09-21
DILLBERRY LAKE,,NE36-41-1-W4,52.576348,-110.004391,TGTR,Beitty/Bow River,3N,22.92,3500,2020-09-21
DOLBERG LAKE,,SE1-60-8-W5,54.157685,-115.053191,RNTR,Campbell Lake,2N,18,4000,2020-05-08
DOLBERG LAKE,,SE1-60-8-W5,54.157685,-115.053191,BNTR,Bow River,3N,20.22,2000,2020-05-08
DOLBERG LAKE,,SE1-60-8-W5,54.157685,-115.053191,TGTR,Beitty/Bow River,3N,20.39,2000,2020-09-17
DUNN LAKE,,NW7-54-25-W5,53.654925,-117.685762,BKTR,Beitty Resort,3N,20.9,2500,2020-05-28
EAST DOLLAR LAKE,,NW8-73-21-W5,55.314926,-117.204628,RNTR,Trout Lodge/Jumpers,AF2N,19.7,3000,2020-05-19
EAST DOLLAR LAKE,,NW8-73-21-W5,55.314926,-117.204628,BNTR,Bow River,3N,19.2,500,2020-05-19
EAST DOLLAR LAKE,,NW8-73-21-W5,55.314926,-117.204628,TGTR,Beitty/Bow River,3N,22.03,300,2020-09-17
EAST DOLLAR LAKE,,NW8-73-21-W5,55.314926,-117.204628,TGTR,Beitty/Bow River,3N,9.74,500,2020-09-17
EAST TWIN LAKE,,SW29-97-22-W5,57.45,-117.533333,RNTR,Campbell Lake,2N,16.51,4200,2020-05-25
EAST TWIN LAKE,,SW29-97-22-W5,57.45,-117.533333,TGTR,Beitty/Bow River,3N,22.81,548,2020-09-15
EAST TWIN LAKE,,SW29-97-22-W5,57.45,-117.533333,TGTR,Beitty/Bow River,3N,20.39,452,2020-09-15
EDITH LAKE,,NE13-67-10-W5,54.801854,-115.382263,BKTR,Beitty Resort,3N,22.24,1800,2020-06-01
EMERALD LAKE,,SW5-62-11-W5,54.333426,-115.61828,BKTR,Beitty Resort,3N,20.45,2300,2020-06-03
EMERSON LAKE,,SW5-19-28-W4,50.576929,-113.85125,RNTR,Trout Lodge/Jumpers,AF3N,20,1050,2020-04-30
EMERSON LAKE,,SW5-19-28-W4,50.576929,-113.85125,BNTR,Bow River,3N,20,200,2020-04-30
EMERSON LAKES,,NW6-55-21-W5,53.723859,-117.12285,RNTR,Trout Lodge/Jumpers,AF3N,19.52,2250,2020-05-28
ENGSTROM LAKE,,NW17-83-6-W4,56.188889,-110.906389,RNTR,Trout Lodge/Kamloops,AF3N,14.64,25000,2020-05-12
ENGSTROM LAKE,,NW17-83-6-W4,56.188889,-110.906389,RNTR,Beitty Resort,3N,13.5,15500,2020-09-09
ENGSTROM LAKE,,NW17-83-6-W4,56.188889,-110.906389,RNTR,Beitty Resort,3N,13.14,9100,2020-09-09
FAIRFAX LAKE,,NW17-46-18-W5,52.971131,-116.576532,RNTR,Trout Lodge/Kamloops,AF3N,15.45,10000,2020-05-28
GOLDEYE LAKE,,NE14-40-16-W5,52.449584,-116.192114,RNTR,Trout Lodge/Jumpers,AF3N,20.7,10000,2020-05-21
GRANDE CACHE LAKE,,NE1-57-8-W6,53.9,-119.05,RNTR,Trout Lodge/Jumpers,AF2N,18.79,8607,2020-06-04
GRANDE CACHE LAKE,,NE1-57-8-W6,53.9,-119.05,RNTR,Trout Lodge/Jumpers,AF2N,19.88,14193,2020-06-08
GRANDE CACHE LAKE,,NE1-57-8-W6,53.9,-119.05,RNTR,Beitty Resort,3N,12.46,20000,2020-09-08
GROTTO MOUNTAIN POND,,NW21-24-9-W5,51.065761,-115.202402,RNTR,Trout Lodge/Jumpers,AF3N,20,1600,2020-05-14
GROTTO MOUNTAIN POND,,NW21-24-9-W5,51.065761,-115.202402,RNTR,Trout Lodge/Jumpers,AF3N,20.2,800,2020-06-19
GROTTO MOUNTAIN POND,,NW21-24-9-W5,51.065761,-115.202402,RNTR,Trout Lodge/Jumpers,AF3N,21.2,800,2020-07-08
GROTTO MOUNTAIN POND,,NW21-24-9-W5,51.065761,-115.202402,RNTR,Trout Lodge/Jumpers,AF3N,23.1,800,2020-07-28
HASSE LAKE,,SW13-52-2-W5,53.487212,-114.173756,RNTR,Trout Lodge/Jumpers,AF3N,20.1,5000,2020-05-11
HASSE LAKE,,SW13-52-2-W5,53.487212,-114.173756,TGTR,Beitty/Bow River,3N,23.1,500,2020-09-24
HASSE LAKE,,SW13-52-2-W5,53.487212,-114.173756,TGTR,Beitty/Bow River,3N,10.24,2000,2020-09-24
HASSE LAKE,,SW13-52-2-W5,53.487212,-114.173756,RNTR,Campbell Lake,2N,40,50,2020-09-28
HASSE LAKE,,SW13-52-2-W5,53.487212,-114.173756,RNTR,Trout Lodge/Jumpers,AF3N,20.6,2500,2020-10-05
HINTON F & G POND,HINTON BORROW PIT,SW28-50-25-W5,53.341065,-117.605197,RNTR,Trout Lodge/Jumpers,AF3N,20,300,2020-05-20
HORSESHOE LAKE,,SW31-63-25-W4,54.489439,-113.783183,BKTR,Beitty Resort,3N,10.1,15034,2020-06-19
IRONSIDE POND,,SW7-38-7-W5,52.246795,-114.996541,RNTR,Beitty Resort,2N,35,5,2020-05-13
IRONSIDE POND,,SW7-38-7-W5,52.246795,-114.996541,RNTR,Campbell Lake,2N,55,25,2020-05-13
IRONSIDE POND,,SW7-38-7-W5,52.246795,-114.996541,TGTR,Beitty/Bow River,3N,20,200,2020-09-01
ISLAND LAKE,,NW12-8-6-W5,49.627778,-114.684444,RNTR,Trout Lodge/Jumpers,AF3N,20.5,1900,2020-05-20
JACK FISH LAKE,,NW20-53-9-W4,53.594311,-111.296351,RNTR,Trout Lodge/Jumpers,AF2N,20,500,2020-05-09
KAKUT LAKE,,SW34-76-4-W6,55.625,-118.533333,RNTR,Trout Lodge/Jumpers,AF2N,20.1,1500,2020-05-26
KINKY LAKE,,SE6-50-26-W5,53.280836,-117.783145,BKTR,Beitty Resort,3N,22.56,5613,2020-09-10
KINKY LAKE,,SE6-50-26-W5,53.280836,-117.783145,BKTR,Beitty Resort,3N,12.07,5000,2020-09-10
LAC DELORME,GEORGE'S LAKE,SE5-57-8-W4,53.896214,-111.1509,RNTR,Trout Lodge/Jumpers,AF2N,19.6,2000,2020-05-28
LAC DELORME,GEORGE'S LAKE,SE5-57-8-W4,53.896214,-111.1509,RNTR,Trout Lodge/Jumpers,AF2N,19.6,2000,2020-05-29
LAC LA BICHE TROUT POND,ALEXANDER HAMILTON POND,NW5-67-13-W4,54.775532,-111.953265,RNTR,Trout Lodge/Jumpers,AF2N,19.73,600,2020-05-08
LAC LA BICHE TROUT POND,ALEXANDER HAMILTON POND,NW5-67-13-W4,54.775532,-111.953265,RNTR,Trout Lodge/Kamloops,AF2N,23.14,600,2020-09-14
LAMBERT POND,,NW8-53-17-W5,53.566383,-116.481493,RNTR,Trout Lodge/Jumpers,AF3N,20,2000,2020-05-22
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,RNTR,Trout Lodge/Jumpers,AF3N,20,5773,2020-04-29
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,RNTR,Trout Lodge/Jumpers,AF3N,17.6,8936,2020-04-29
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,RNTR,Pit Lakes,2N,20.8,500,2020-04-29
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,BNTR,Bow River,3N,20,1895,2020-04-30
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,RNTR,Trout Lodge/Jumpers,AF3N,18.5,5291,2020-05-06
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,RNTR,Campbell Lake,3N,8.1,10000,2020-06-05
LEES LAKE,,SW8-7-2-W5,49.541912,-114.248586,RNTR,Campbell Lake,3N,15.5,12000,2020-09-25
LILY LAKE,,NW7-75-5-W5,55.483333,-114.766667,TGTR,Beitty/Bow River,3N,22.8,325,2020-10-07
LILY LAKE,,NW7-75-5-W5,55.483333,-114.766667,BKTR,Beitty Resort,3N,14.57,3660,2020-10-07
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,RNTR,Pit Lakes,2N,15.66,5000,2020-05-15
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,RNTR,Campbell Lake,2N,17.68,5000,2020-05-15
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,BKTR,Beitty Resort,3N,20.1,2200,2020-05-15
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,TGTR,Beitty/Bow River,3N,22,2213,2020-06-18
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,RNTR,Trout Lodge/Kamloops,AF2N,24.12,2390,2020-09-18
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,RNTR,Trout Lodge/Kamloops,AF2N,22.21,2610,2020-09-18
LITTLE BEAR LAKE,HASSE LAKE,NW19-64-2-W4,54.551596,-110.300937,TGTR,Beitty/Bow River,3N,9.65,5000,2020-09-18
MARGARET LAKE,,NW15-28-9-W5,51.401845,-115.185439,RNTR,Trout Lodge/Jumpers,AF3N,20.4,3067,2020-06-19
MARIGOLD LAKE,,NW32-65-11-W5,54.671776,-115.628279,BKTR,Beitty Resort,3N,14.57,7000,2020-10-07
MARY GREGG LAKE,,NW4-48-24-W5,53.112602,-117.454064,RNTR,Trout Lodge/Kamloops,AF3N,15.1,4000,2020-06-01
MCLEAN POND,,NW20-22-5-W5,50.888074,-114.669068,RNTR,Trout Lodge/Jumpers,AF3N,20,3600,2020-05-26
MCLEAN POND,,NW20-22-5-W5,50.888074,-114.669068,RNTR,Trout Lodge/Jumpers,AF3N,20.5,3500,2020-07-07
MCLEOD LAKE,CARSON LAKE,SE25-61-12-W5,54.298603,-115.652786,RNTR,Trout Lodge/Kamloops,AF3N,14.64,26500,2020-05-11
