WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES,QUANTITY,STRAIN,GENOTYPE,AVG. LENGTH
6871,UNNAMED,PONOKA CENTENNIAL PARK POND,-113.584991,52.680354,NE5-43-25-W4,2016-05-04,RAINBOW TROUT,750,PRIVATE ALBERTA FACILITY,3N,21
6711,UNNAMED,PRO ALTA POND,-110.278345,52.347721,SE18-39-2-W4,2016-04-26,RAINBOW TROUT,1000,TROUT LODGE/SILVER'S,AF3N,22.17
26047,UNNAMED,RADWAY FISH POND,-112.95596,54.056793,SE31-58-20-W4,2016-05-03,RAINBOW TROUT,1000,PRIVATE ALBERTA FACILITY,3N,20.4
6705,UNNAMED,RAINBOW LAKE POND,-119.349303,58.495385,NE25-109-9-W6,2016-05-25,RAINBOW TROUT,500,LYNDON,AF2N,26.39
22504,UNNAMED,RIVERSTONE POND,-112.863787,49.659849,SW24-8-22-W4,2016-04-19,RAINBOW TROUT,500,BEITTY/BEAVER LAKE,3N,25.57
22504,UNNAMED,RIVERSTONE POND,-112.863787,49.659849,SW24-8-22-W4,2016-03-15,RAINBOW TROUT,1000,BEITTY/BEAVER LAKE,3N,23.3
6697,UNNAMED,SEVERN CREEK RESERVOIR,-112.955705,51.208304,NW12-26-22-W4,2016-05-02,RAINBOW TROUT,20000,BEITTY RESORT,2N,11.01
6699,UNNAMED,SHEMELUK LAKE,-112.423089,54.212986,SW25-60-17-W4,2016-05-10,RAINBOW TROUT,6000,TROUT LODGE/KAMLOOPS,AF3N,16.25
6688,UNNAMED,SHUSTER LAKE,-110.609119,52.740747,NE26-43-5-W4,2016-05-04,BROOK TROUT,5000,BEITTY RESORT,3N,5.93
6688,UNNAMED,SHUSTER LAKE,-110.609119,52.740747,NE26-43-5-W4,2016-04-28,BROOK TROUT,5000,BEITTY RESORT,3N,20.48
5805,UNNAMED,SIBBALD LAKE,-114.866712,51.048693,NE14-24-7-W5,2016-04-25,RAINBOW TROUT,1130,TROUT LODGE/SILVER'S,AF3N,21.08
5805,UNNAMED,SIBBALD LAKE,-114.866712,51.048693,NE14-24-7-W5,2016-06-03,RAINBOW TROUT,1010,TROUT LODGE/SILVER'S,AF3N,23.68
6651,UNNAMED,SILKSTONE LAKE,-116.717434,53.0436,NE9-47-19-W5,2016-05-18,RAINBOW TROUT,1300,MOUNT LASSEN,3N,17.63
6692,UNNAMED,SPRING COULEE PARK POND,-113.108558,49.372404,NE12-5-24-W4,2016-04-14,RAINBOW TROUT,3000,MOUNT LASSEN,3N,18.06
6693,UNNAMED,SPRING LAKE,-119.583801,55.513162,NE23-75-11-W6,2016-06-01,BROOK TROUT,4000,BEITTY RESORT,3N,21.54
24702,UNNAMED,ST. PAUL FISH POND,-111.2685,53.9954,SE9-58-9-W4,2016-04-27,RAINBOW TROUT,1800,MOUNT LASSEN,2N,32.71
6682,UNNAMED,STIRLING CHILDREN'S POND,-112.5376,49.500793,SW29-6-19-W4,2016-04-22,RAINBOW TROUT,500,PRIVATE ALBERTA FACILITY,3N,19.6
6686,UNNAMED,STRATHMORE CHILDREN'S POND,-113.390752,51.041855,SW14-24-25-W4,2016-05-05,RAINBOW TROUT,2500,PRIVATE ALBERTA FACILITY,3N,20.3
6674,UNNAMED,TELEGRAPH PARK POND,-113.044262,53.188646,NW32-48-21-W4,2016-04-22,BROWN TROUT,600,BOW RIVER,3N,19.23
6674,UNNAMED,TELEGRAPH PARK POND,-113.044262,53.188646,NW32-48-21-W4,2016-05-04,RAINBOW TROUT,1000,PRIVATE ALBERTA FACILITY,3N,21
6637,UNNAMED,TEXACO POND,-111.248523,56.639271,SW20-88-8-W4,2016-06-05,RAINBOW TROUT,900,CAMPBELL LAKE,2N,18.56
6637,UNNAMED,TEXACO POND,-111.248523,56.639271,SW20-88-8-W4,2016-06-05,RAINBOW TROUT,600,LYNDON,AF2N,27.07
6670,UNNAMED,TWO HILLS POND,-111.744946,53.703308,SW32-54-12-W4,2016-05-13,RAINBOW TROUT,1000,PRIVATE ALBERTA FACILITY,3N,20.9
6618,UNNAMED,VALLEYVIEW CHILDREN'S POND,-117.284529,55.076591,NE21-70-22-W5,2016-05-24,RAINBOW TROUT,500,CAMPBELL LAKE,2N,20.27
6619,UNNAMED,VEGREVILLE CHILDREN'S POND,-112.035539,53.492329,NW17-52-14-W4,2016-05-13,RAINBOW TROUT,1000,PRIVATE ALBERTA FACILITY,3N,20.9
6619,UNNAMED,VEGREVILLE CHILDREN'S POND,-112.035539,53.492329,NW17-52-14-W4,2016-04-21,RAINBOW TROUT,8552,BEITTY/BEAVER LAKE,2N,25.69
6619,UNNAMED,VEGREVILLE CHILDREN'S POND,-112.035539,53.492329,NW17-52-14-W4,2016-04-22,RAINBOW TROUT,1448,BEITTY/BEAVER LAKE,2N,26.33
6622,UNNAMED,WALLACE PARK POND,-110.85653,52.8425,NE31-44-6-W4,2016-05-11,RAINBOW TROUT,1500,PRIVATE ALBERTA FACILITY,3N,20
6609,UNNAMED,WEBERVILLE POND,-117.311159,56.360995,NW7-85-21-W5,2016-05-25,RAINBOW TROUT,1000,CAMPBELL LAKE,2N,20.3
18019,UNNAMED,WETASKIWIN POND,-113.353311,52.987222,NE24-46-24-W4,2016-05-04,RAINBOW TROUT,500,PRIVATE ALBERTA FACILITY,3N,21
21137,UNNAMED,WHITECOURT TOWN POND,-115.685342,54.149158,NE35-59-12-W5,2016-05-13,RAINBOW TROUT,1500,MOUNT LASSEN,2N,28.63
6625,UNNAMED,WILDWOOD POND,-115.318904,53.601291,SW30-53-9-W5,2016-05-12,RAINBOW TROUT,1500,TROUT LODGE/SILVER'S,AF3N,21.12
6617,UNNAMED,WINCHELL LAKE,-114.609375,51.454862,NW2-29-5-W5,2016-04-21,RAINBOW TROUT,6000,MOUNT LASSEN,3N,14.68
6626,UNNAMED,WOLF CREEK POND,-116.2285,53.574507,SW13-53-16-W5,2016-05-17,RAINBOW TROUT,900,MOUNT LASSEN,3N,17.63
6086,VICTOR LAKE,,-119.090207,53.882014,SW35-56-8-W6,2016-06-09,RAINBOW TROUT,15000,TROUT LODGE/KAMLOOPS,AF3N,17.06
26854,WEST RIVERS EDGE POND,FORT LIONS PARK POND,-113.274136,53.683219,NE23-54-23-W4,2016-04-26,RAINBOW TROUT,1000,PRIVATE ALBERTA FACILITY,3N,20.9
26033,WHITERIDGE RECREATION AREA POND,BLUERIDGE PIT,-115.364319,54.15613,SW1-60-10-W5,2016-05-12,RAINBOW TROUT,2100,TROUT LODGE/KAMLOOPS,AF3N,17.29
6537,WILDHORSE LAKES,LOWER WILDHORSE LAKE,-117.792759,53.269491,SW31-49-26-W5,2016-05-12,BROOK TROUT,2500,BEITTY RESORT,3N,6.23
6160,WILDHORSE LAKES,UPPER WILDHORSE LAKE,-117.80152,53.271338,SW31-49-26-W5,2016-05-12,RAINBOW TROUT,7500,MOUNT LASSEN,3N,16.75
6173,WINDSOR LAKE,,-113.093667,52.595848,SW10-42-22-W4,2016-04-29,RAINBOW TROUT,4000,PRIVATE ALBERTA FACILITY,3N,21.3
6601,YELLOWHEAD LAKE,,-114.802334,51.957774,SW33-34-6-W5,2016-05-10,BROOK TROUT,8700,BEITTY RESORT,3N,6.23
