WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES,QUANTITY,STRAIN,GENOTYPE,AVG. LENGTH
3899,ALFORD LAKE,,-115.092202,52.063523,SW4-36-8-W5,2019-06-03,RAINBOW TROUT,500,TROUT LODGE/JUMPERS,AF2N,21.5
3899,ALFORD LAKE,,-115.092202,52.063523,SW4-36-8-W5,2019-05-10,RAINBOW TROUT,3000,PIT LAKES,3N,12.5
4011,BEAUVAIS LAKE,,-114.105019,49.411416,SW29-5-1-W5,2019-09-03,RAINBOW TROUT,9000,TROUT LODGE/JUMPERS,AF3N,5.2
4011,BEAUVAIS LAKE,,-114.105019,49.411416,SW29-5-1-W5,2019-04-30,RAINBOW TROUT,5000,TROUT LODGE/JUMPERS,AF3N,19.8
4011,BEAUVAIS LAKE,,-114.105019,49.411416,SW29-5-1-W5,2019-04-30,RAINBOW TROUT,4000,TROUT LODGE/KAMLOOPS,AF3N,11.8
4014,BEAVER LAKE,,-114.788387,52.006721,NE16-35-6-W5,2019-05-24,RAINBOW TROUT,2700,TROUT LODGE/JUMPERS,AF3N,21.9
4014,BEAVER LAKE,,-114.788387,52.006721,NE16-35-6-W5,2019-09-26,TIGER TROUT,1000,BEITTY/BOW RIVER,3N,22.4
4018,BEAVER MINES LAKE,,-114.296284,49.372895,NE11-5-3-W5,2019-05-06,RAINBOW TROUT,10000,TROUT LODGE/KAMLOOPS,AF3N,13
4018,BEAVER MINES LAKE,,-114.296284,49.372895,NE11-5-3-W5,2019-09-23,RAINBOW TROUT,13000,TROUT LODGE/JUMPERS,AF3N,5.2
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2019-09-23,BROWN TROUT,7,BOW RIVER,2N,50
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2019-05-24,BROOK TROUT,5000,BEITTY RESORT,3N,19.5
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2019-05-24,RAINBOW TROUT,2700,TROUT LODGE/JUMPERS,AF3N,21.9
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2019-05-24,RAINBOW TROUT,500,BOW RIVER,3N,22.5
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2019-09-23,BROWN TROUT,18,BOW RIVER,2N,23
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2019-05-10,BROWN TROUT,5800,BOW RIVER,3N,19.9
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2019-05-10,BROOK TROUT,6500,BEITTY RESORT,3N,20.9
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2019-09-19,TIGER TROUT,3500,BEITTY/BOW RIVER,3N,24.2
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2019-09-19,RAINBOW TROUT,30000,TROUT LODGE/JUMPERS,AF3N,5.4
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2019-09-19,BROWN TROUT,10000,BOW RIVER,3N,10.5
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2019-09-19,BROWN TROUT,1543,BOW RIVER,3N,26.1
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2019-10-02,TIGER TROUT,65369,BEITTY/BOW RIVER,3N,10
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2019-10-02,TIGER TROUT,2316,BEITTY/BOW RIVER,3N,24.6
6890,BONNYVILLE TOWN POND,SLAWUTA LAKE,-110.745372,54.265723,NW7-61-5-W4,2019-05-02,RAINBOW TROUT,500,TROUT LODGE/JUMPERS,AF3N,21.3
