WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES,QUANTITY,STRAIN,GENOTYPE,AVG. LENGTH
3899,ALFORD LAKE,,-115.092202,52.063523,SW4-36-8-W5,2018-05-09,RAINBOW TROUT,1650,MOUNT LASSEN,3N,20.61
4011,BEAUVAIS LAKE,,-114.105019,49.411416,SW29-5-1-W5,2018-05-18,RAINBOW TROUT,10580,TROUT LODGE/COLD WATER JUMPERS,AF3N,17.44
4014,BEAVER LAKE,,-114.788387,52.006721,NE16-35-6-W5,2018-05-28,RAINBOW TROUT,1698,TROUT LODGE/SILVER'S,AF3N,22.2
4014,BEAVER LAKE,,-114.788387,52.006721,NE16-35-6-W5,2018-09-20,TIGER TROUT,1000,BEITTY/BOW RIVER,3N,22.24
4018,BEAVER MINES LAKE,,-114.296284,49.372895,NE11-5-3-W5,2018-05-11,RAINBOW TROUT,800,TROUT LODGE,AF3N,18.71
4018,BEAVER MINES LAKE,,-114.296284,49.372895,NE11-5-3-W5,2018-05-11,RAINBOW TROUT,10700,TROUT LODGE,AF3N,15.94
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2018-06-05,BROWN TROUT,500,BOW RIVER,3N,20.71
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2018-06-05,RAINBOW TROUT,1698,TROUT LODGE/SILVER'S,AF3N,21.99
4061,BIRCH LAKE,,-114.854167,52.011667,SE18-35-6-W5,2018-06-05,BROOK TROUT,4000,BEITTY RESORT,3N,19.33
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2018-09-04,BROOK TROUT,125,BEITTY RESORT,2N,38.87
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2018-09-04,BROWN TROUT,80,BOW RIVER,2N,64.71
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2018-10-01,TIGER TROUT,10,BEITTY/BOW RIVER,2N,71.22
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2018-05-03,BROWN TROUT,4350,BOW RIVER,3N,20.61
3494,BLOOD INDIAN CREEK RESERVOIR,,-111.210333,51.24853,SW28-26-9-W4,2018-05-07,RAINBOW TROUT,81000,LYNDON,AF3N,9.5
