WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES,QUANTITY,GENOTYPE,AVG. LENGTH
3510,HENINGERS RESERVOIR, ,-111.562445,49.207984,SE16-3-12-W4,4/9/2013,RNTR,11224,Diploid,17
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/10/2013,BKTR,50,Diploid,39
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/10/2013,BKTR,100,Diploid,39
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/10/2013,BKTR,50,Diploid,39
5050,LEES LAKE, ,-114.248586,49.541912,SW8-7-2-W5,4/10/2013,RNTR,14988,Triploid,17
5050,LEES LAKE, ,-114.248586,49.541912,SW8-7-2-W5,4/10/2013,RNTR,14583,Triploid,18
5050,LEES LAKE, ,-114.248586,49.541912,SW8-7-2-W5,4/10/2013,RNTR,2417,Triploid,17
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/11/2013,RNTR,34997,Triploid,13
5050,LEES LAKE, ,-114.248586,49.541912,SW8-7-2-W5,4/11/2013,RNTR,10000,Triploid,17
5050,LEES LAKE, ,-114.248586,49.541912,SW8-7-2-W5,4/11/2013,RNTR,3012,Triploid,17
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/12/2013,BKTR,20,Diploid,36
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/12/2013,BKTR,128,Diploid,36
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/12/2013,RNTR,32197,Triploid,13
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/12/2013,RNTR,3112,Triploid,13
5513,PAYNE LAKE,MAMI LAKE,-113.655837,49.1117,NE10-2-28-W4,4/12/2013,RNTR,38903,Triploid,12
4231,CAVAN LAKE, ,-110.407082,49.935915,SW30-11-3-W4,4/15/2013,RNTR,15292,Diploid,18
