WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES,QUANTITY,GENOTYPE,AVG. LENGTH
3499,CHAIN LAKES RESERVOIR, ,-114.20802,50.236864,NE4-15-2-W5,4/23/2010,RNTR,49050,Pressure Treated as Triploid,11
6791,UNNAMED,HERMITAGE PARK POND,-113.371337,53.581702,NE18-53-23-W4,4/26/2010,RNTR,3000,Diploid,20
5753,SAUER LAKE, ,-114.078152,53.612875,NE28-53-1-W5,4/26/2010,RNTR,2061,Diploid,19
5753,SAUER LAKE, ,-114.078152,53.612875,NE28-53-1-W5,4/26/2010,RNTR,3939,Diploid,19
5753,SAUER LAKE, ,-114.078152,53.612875,NE28-53-1-W5,4/26/2010,RNTR,0,Diploid,19
6879,UNNAMED,BURMIS LAKE,-114.299609,49.553784,SE14-7-3-W5,4/26/2010,RNTR,500,Pressure Treated as Triploid,22
23293,UNNAMED,CROSSFIELD TROUT POND,-114.049779,51.422275,SE27-28-1-W5,4/26/2010,RNTR,1400,Diploid,19
6765,UNNAMED,LEGAL RESERVOIR,-113.576888,53.938127,SE24-57-25-W4,4/26/2010,RNTR,2000,Diploid,20
6803,UNNAMED,HELMER RESERVOIR,-111.977647,51.656113,SW18-31-14-W4,4/26/2010,RNTR,5000,Pressure Treated as Triploid,17
3499,CHAIN LAKES RESERVOIR, ,-114.20802,50.236864,NE4-15-2-W5,4/26/2010,RNTR,36559,Pressure Treated as Triploid,11
3499,CHAIN LAKES RESERVOIR, ,-114.20802,50.236864,NE4-15-2-W5,4/26/2010,RNTR,18324,Pressure Treated as Triploid,11
3499,CHAIN LAKES RESERVOIR, ,-114.20802,50.236864,NE4-15-2-W5,4/26/2010,RNTR,51180,Pressure Treated as Triploid,11
6613,UNNAMED,WESTLOCK RECREATION POND,-113.727525,54.145706,NE31-59-25-W4,4/26/2010,RNTR,2000,Diploid,20
5504,OUTPOST LAKE,POLICE LAKE,-113.456699,49.011823,NE6-1-26-W4,4/27/2010,RNTR,17489,Pressure Treated as Triploid,15
5504,OUTPOST LAKE,POLICE LAKE,-113.456699,49.011823,NE6-1-26-W4,4/27/2010,RNTR,2500,Pressure Treated as Triploid,15
6844,UNNAMED,DICKSON TROUT POND,-114.309334,52.011001,NW13-35-3-W5,4/27/2010,RNTR,7813,Diploid,14
6844,UNNAMED,DICKSON TROUT POND,-114.309334,52.011001,NW13-35-3-W5,4/27/2010,RNTR,20791,Diploid,14
3524,MICHICHI RESERVOIR, ,-112.52946,51.582647,SW19-30-18-W4,4/27/2010,RNTR,14000,Diploid,14
