WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES,QUANTITY,GENOTYPE,AVG. LENGTH
6734,UNNAMED,NICHOLAS SHERAN PARK POND,-112.879725,49.671905,SE26-8-22-W4,4/17/2009,BKTR,120,Diploid,46
6751,UNNAMED,MAGRATH CHILDREN'S POND,-112.869274,49.407453,SW26-5-22-W4,4/18/2009,RNTR,500,Diploid,20
6757,UNNAMED,MCQUILLAN RESERVOIR,-112.45932,49.64707,SW13-8-19-W4,4/18/2009,RNTR,3650,Diploid,20
6818,UNNAMED,GOLDSPRING PARK POND,-111.995479,49.095497,NE6-2-15-W4,4/18/2009,RNTR,1500,Diploid,20
6810,UNNAMED,GRANUM POND,-113.507613,49.862522,SE31-10-26-W4,4/18/2009,RNTR,450,Diploid,20
6682,UNNAMED,STIRLING CHILDREN'S POND,-112.5376,49.500793,SW29-6-19-W4,4/18/2009,RNTR,700,Diploid,20
17894,UNNAMED,ANDERSON DAM,-112.838356,51.419906,SW25-28-21-W4,4/20/2009,RNTR,3000,Diploid,20
3510,HENINGERS RESERVOIR, ,-111.562445,49.207984,SE16-3-12-W4,4/21/2009,RNTR,11000,Diploid,17
24278,UNNAMED,NEW DAYTON FISH AND GAME POND,-112.384948,49.434987,NE32-5-18-W4,4/21/2009,RNTR,4000,Diploid,17
6056,TYRRELL LAKE, ,-112.2734514,49.38961104,NE18-5-17-W4,4/22/2009,RNTR,10261,Pressure Treated as Triploid,8
6056,TYRRELL LAKE, ,-112.2734514,49.38961104,NE18-5-17-W4,4/22/2009,RNTR,10177,Pressure Treated as Triploid,8
6056,TYRRELL LAKE, ,-112.2734514,49.38961104,NE18-5-17-W4,4/22/2009,RNTR,10228,Pressure Treated as Triploid,8
6056,TYRRELL LAKE, ,-112.2734514,49.38961104,NE18-5-17-W4,4/22/2009,RNTR,10236,Pressure Treated as Triploid,8
6056,TYRRELL LAKE, ,-112.2734514,49.38961104,NE18-5-17-W4,4/22/2009,RNTR,86259,Diploid,9
6056,TYRRELL LAKE, ,-112.2734514,49.38961104,NE18-5-17-W4,4/22/2009,RNTR,64694,Diploid,8
6056,TYRRELL LAKE, ,-112.2734514,49.38961104,NE18-5-17-W4,4/22/2009,RNTR,16325,Pressure Treated as Triploid,8
6056,TYRRELL LAKE, ,-112.2734514,49.38961104,NE18-5-17-W4,4/22/2009,RNTR,10274,Pressure Treated as Triploid,8
6791,UNNAMED,HERMITAGE PARK POND,-113.371337,53.581702,NE18-53-23-W4,4/24/2009,RNTR,3000,Diploid,20
6765,UNNAMED,LEGAL RESERVOIR,-113.576888,53.938127,SE24-57-25-W4,4/24/2009,RNTR,2000,Diploid,20
6613,UNNAMED,WESTLOCK RECREATION POND,-113.727525,54.145706,NE31-59-25-W4,4/24/2009,RNTR,2000,Diploid,20
3505,FYTEN RESERVOIR, ,-113.331867,51.546348,NW4-30-24-W4,4/27/2009,RNTR,10000,Diploid,14
6806,UNNAMED,HANSEN'S RESERVOIR,-114.394522,52.297145,SW29-38-3-W5,4/27/2009,RNTR,3000,Diploid,20
6697,UNNAMED,SEVERN CREEK RESERVOIR,-112.955705,51.208304,NW12-26-22-W4,4/27/2009,RNTR,20000,Diploid,14
6622,UNNAMED,WALLACE PARK POND,-110.862709,52.836074,NW31-44-6-W4,4/28/2009,RNTR,2000,Diploid,21
6873,UNNAMED,BROOKS AQUADUCT POND,-111.843722,50.524756,NE15-18-14-W4,4/28/2009,RNTR,8678,Diploid,17
6873,UNNAMED,BROOKS AQUADUCT POND,-111.843722,50.524756,NE15-18-14-W4,4/28/2009,RNTR,17641,Diploid,17
6871,UNNAMED,PONOKA CENTENNIAL PARK POND,-113.590891,52.693163,NE8-43-25-W4,4/28/2009,RNTR,750,Diploid,20
20258,UNNAMED,CASTAWAY TROUT POND,-111.790693,53.09946,NE35-47-13-W4,4/28/2009,RNTR,1500,Diploid,21
6822,EMERSON LAKE, ,-113.85125,50.576929,SW5-19-28-W4,4/28/2009,RNTR,2500,Diploid,20
3494,BLOOD INDIAN CREEK RESERVOIR, ,-111.210333,51.24853,SW28-26-9-W4,4/28/2009,RNTR,42271,Diploid,12
3494,BLOOD INDIAN CREEK RESERVOIR, ,-111.210333,51.24853,SW28-26-9-W4,4/28/2009,RNTR,42338,Diploid,12
6711,UNNAMED,PRO ALTA POND,-110.281204,52.346983,SW18-39-2-W4,4/28/2009,RNTR,1500,Diploid,21
6785,UNNAMED,IRMA FISH AND GAME POND,-111.219406,52.926951,NE34-45-9-W4,4/28/2009,RNTR,500,Diploid,21
18019,UNNAMED,WETASKIWIN POND,-113.360009,52.977951,SW24-46-24-W4,4/28/2009,RNTR,500,Diploid,20
6714,UNNAMED,OYEN RESERVOIR,-110.48757,51.62757,NE3-31-4-W4,4/29/2009,RNTR,700,Diploid,20
6879,UNNAMED,BURMIS LAKE,-114.299609,49.553784,SE14-7-3-W5,4/29/2009,RNTR,1000,Triploid,23
6900,UNNAMED,ACADIA VALLEY RESERVOIR,-110.256659,51.111282,SW8-25-2-W4,4/29/2009,RNTR,6000,Diploid,18
6809,UNNAMED,GOOSEBERRY PARK POND,-110.771236,52.110661,NE22-36-6-W4,4/29/2009,RNTR,3500,Diploid,20
3494,BLOOD INDIAN CREEK RESERVOIR, ,-111.210333,51.24853,SW28-26-9-W4,4/29/2009,RNTR,32087,Diploid,12
