WATERBODY ID,OFFICIAL NAME,COMMON NAME,LONG,LAT,ATS,SHIPMENT DATE,SPECIES,QUANTITY,STRAIN,GENOTYPE,AVG. LENGTH
6815,UNNAMED,FOX CREEK TROUT POND,-116.888798,54.45359,NW13-63-20-W5,2017-05-23,RAINBOW TROUT,500,LYNDON,AF2N,28.02
23292,UNNAMED,GENESEE TROUT POND,-114.309875,53.376492,NW1-51-3-W5,2017-05-29,RAINBOW TROUT,25,MOUNT LASSEN,2N,50
23292,UNNAMED,GENESEE TROUT POND,-114.309875,53.376492,NW1-51-3-W5,2017-10-02,RAINBOW TROUT,500,BEITTY RESORT,2N,
23292,UNNAMED,GENESEE TROUT POND,-114.309875,53.376492,NW1-51-3-W5,2017-05-29,RAINBOW TROUT,500,BEITTY RESORT,3N,20
6818,UNNAMED,GOLDSPRING PARK POND,-111.995479,49.095497,NE6-2-15-W4,2017-04-26,RAINBOW TROUT,680,TROUT LODGE/SILVER'S,AF3N,20.79
6818,UNNAMED,GOLDSPRING PARK POND,-111.995479,49.095497,NE6-2-15-W4,2017-04-26,RAINBOW TROUT,2071,TROUT LODGE,AF3N,17.2
6810,UNNAMED,GRANUM POND,-113.516665,49.870282,NW31-10-26-W4,2017-04-19,RAINBOW TROUT,306,TROUT LODGE/SILVER'S,AF3N,20.6
6806,UNNAMED,HANSEN'S RESERVOIR,-114.394522,52.297145,NE29-38-3-W5,2017-10-02,RAINBOW TROUT,1000,BEITTY RESORT,3N,20.3
6808,UNNAMED,HARLECK POND,-115.972609,52.494632,SE5-41-14-W5,2017-05-31,RAINBOW TROUT,300,BEITTY RESORT,3N,21.14
6808,UNNAMED,HARLECK POND,-115.972609,52.494632,SE5-41-14-W5,2017-05-31,RAINBOW TROUT,100,TROUT LODGE/SILVER'S,AF3N,22.8
6803,UNNAMED,HELMER RESERVOIR,-111.983108,51.649233,SW18-31-14-W4,2017-09-25,RAINBOW TROUT,5000,BEITTY RESORT,3N,
6803,UNNAMED,HELMER RESERVOIR,-111.983108,51.649233,SW18-31-14-W4,2017-04-20,RAINBOW TROUT,5000,TROUT LODGE,AF3N,16.6
6790,UNNAMED,HERITAGE LAKE,-113.66643,53.799728,NW33-55-25-W4,2017-05-02,BROOK TROUT,700,BEITTY RESORT,3N,19.49
6794,UNNAMED,HIGHWAY 40 POND,-118.782831,54.958674,SW12-69-6-W6,2017-06-01,RAINBOW TROUT,1000,LYNDON,AF2N,28.5
6668,UNNAMED,HIGHWAY 63 POND,-111.320447,56.588109,NE35-87-9-W4,2017-05-10,RAINBOW TROUT,1000,LYNDON,AF2N,27.34
6795,UNNAMED,HIGHWAY 686 POND,-116.954587,56.372419,NE17-85-19-W5,2017-05-24,RAINBOW TROUT,500,TROUT LODGE/SILVER'S,AF3N,21.56
6796,UNNAMED,HILLER'S RESERVOIR,-113.978521,51.739122,SE13-32-29-W4,2017-05-12,RAINBOW TROUT,6000,TROUT LODGE,AF3N,20.96
6780,UNNAMED,HUBER RESERVOIR,-111.732917,52.221611,SW36-37-13-W4,2017-04-20,RAINBOW TROUT,6000,TROUT LODGE,AF3N,16.6
6784,UNNAMED,INNISFREE TROUT POND,-111.629354,53.39796,SE13-51-12-W4,2017-05-07,RAINBOW TROUT,408,TROUT LODGE/SILVER'S,AF3N,22.37
6784,UNNAMED,INNISFREE TROUT POND,-111.629354,53.39796,SE13-51-12-W4,2017-05-07,BROOK TROUT,600,BEITTY RESORT,3N,19.49
6785,UNNAMED,IRMA FISH AND GAME POND,-111.236446,52.918593,SW34-45-9-W4,2017-05-07,BROOK TROUT,100,BEITTY RESORT,3N,19.49
6785,UNNAMED,IRMA FISH AND GAME POND,-111.236446,52.918593,SW34-45-9-W4,2017-05-07,RAINBOW TROUT,154,LYNDON,AF2N,27.66
6788,UNNAMED,JARVIS CREEK POND,-117.810057,53.508917,NE19-52-26-W5,2017-05-29,RAINBOW TROUT,700,TROUT LODGE/SILVER'S,AF3N,21.63
417476,UNNAMED,KEENEX TROUT POND,-113.208467,49.896607,NW10-11-24-W4,2017-04-19,RAINBOW TROUT,4000,TROUT LODGE/SILVER'S,AF3N,20.8
6770,UNNAMED,KERBE'S POND,-112.844594,52.112277,NE19-36-20-W4,2017-10-09,RAINBOW TROUT,500,TROUT LODGE,3N,
